ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
1|1|355|B|1|0|5|M|1422|3
1|1|432|C|1|0|25|U|1722|7
1|1|403|C|2|0|31|U|1533|5
1|1|480|C|3|0|33|M|1900|11
1|1|437|C|1|0|23|M|1959|7
1|1|400|C|1|0|17|M|1864|5
1|2|116|B|1|0|9|U|1882|1
1|2|589|C|3|0|11|M|1743|1
1|2|584|B|1|0|15|U|1595|1
1|2|137|C|1|0|19|U|1979|1
1|2|83|C|5|0|6|U|1850|1
1|2|135|C|1|0|1|U|1965|1
1|3|294|C|1|0|13|U|1661|1
1|3|227|C|1|0|10|U|1880|1
1|3|618|B|1|0|3|U|1876|1
1|3|34|C|1|0|20|U|1856|1
1|3|214|C|1|0|12|U|1945|1
1|3|215|C|1|0|12|U|1359|1
2|1|583|C|1|0|32|U|2024|2
2|1|1946|C|2|0|8|U|1847|2
2|1|564|C|2|0|5|R|1751|2
2|1|498|C|1|0|18|U|1931|2
2|1|472|B|1|0|3|U|1478|2
2|1|482|B|1|0|22|U|1498|2
2|1|496|B|1|0|1|U|1918|2
2|1|377|C|2|0|7|U|1506|2
2|2|309|B|1|0|12|U|1701|2
2|2|346|C|2|0|28|U|1903|2
2|2|335|B|1|0|17|U|1398|2
2|2|441|B|1|0|25|U|1879|2
2|2|520|B|1|0|2|U|1713|2
2|2|277|B|1|0|13|U|1812|2
2|2|1651|C|1|0|10|U|1458|2
2|2|246|B|1|0|14|U|1426|2
2|3|38|B|1|0|8|U|1704|1
2|3|132|C|1|0|1|U|1742|1
2|3|199|C|1|0|36|R|1278|1
2|3|2037|C|1|0|25|U|1596|1
2|3|22|C|1|0|4|U|1478|1
2|3|1851|C|2|0|19|U|1823|1
2|3|158|C|1|0|34|U|1853|1
2|3|117|B|1|0|17|U|1545|1
2|4|1725|C|2|0|23|U|1367|4
2|4|1773|C|2|0|33|U|1601|4
2|4|1414|B|1|0|2|U|1496|4
2|4|1428|B|1|0|29|U|1915|4
2|4|1532|C|1|0|3|U|1168|4
2|4|1181|C|2|0|21|U|1524|4
2|4|2022|C|1|0|39|U|1919|4
2|4|1766|B|1|0|30|U|1694|4
2|5|1154|B|1|0|38|U|1176|4
2|5|1328|B|1|0|34|U|1921|4
2|5|1329|B|1|0|26|U|1586|4
2|5|1412|B|1|0|35|U|1737|4
2|5|1076|C|1|0|21|U|1482|4
2|5|882|C|2|0|8|U|1396|4
2|5|1097|B|1|0|24|U|1359|4
2|5|1100|B|1|0|25|U|1590|4
2|6|766|C|1|0|33|U|1374|4
2|6|827|B|1|0|5|U|1773|4
2|6|2042|B|1|0|16|U|1728|4
2|6|843|B|1|0|6|U|1536|4
2|6|735|C|1|0|4|U|1898|4
2|6|891|C|1|0|26|U|1339|4
2|6|1026|C|3|0|18|U|1560|4
2|6|1499|B|1|0|17|M|1933|4
2|7|703|B|1|0|10|U|1696|3
2|7|701|B|1|0|10|U|1841|3
2|7|715|B|1|0|11|U|1915|3
2|7|1265|B|1|0|22|U|1601|5
2|7|1264|B|1|0|22|U|1361|5
2|7|1272|B|1|0|19|U|1352|5
2|7|1677|B|1|0|32|U|1392|2
2|7|1978|B|1|0|6|U|1268|1
