1745
ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO|ESTRATO|NUMERO_ARE|SI|NO|NULOS|TOTAL|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
1|1|355|B|1|0|2|1422|3|8|0|0101|5|26|0|0|26|2021|8|1|18|17|4|1|N
1|1|400|C|1|0|2|1864|5|4|0|0101|17|7|1|0|8|2021|8|1|18|13|32|1|N
1|1|403|C|2|0|1|1533|5|4|0|0101|31|56|0|0|56|2021|8|1|18|24|49|1|N
1|1|432|C|1|0|1|1722|7|1|0|0101|25|64|3|0|67|2021|8|1|18|20|5|1|N
1|1|437|C|1|0|2|1959|7|1|0|0101|23|104|1|1|106|2021|8|1|18|20|28|1|N
1|1|480|C|3|0|2|1900|11|2|0|0101|33|49|1|0|50|2021|8|1|18|36|32|1|N
1|2|83|C|5|0|1|1850|1|12|0|0102|6|24|1|0|25|2021|8|1|18|30|11|1|N
1|2|116|B|1|0|1|1882|1|13|0|0102|9|64|3|0|67|2021|8|1|18|42|25|1|N
1|2|135|C|1|0|1|1965|1|15|0|0102|1|130|0|0|130|2021|8|1|18|43|38|1|N
1|2|137|C|1|0|1|1979|1|15|0|0102|19|121|1|0|122|2021|8|1|18|44|53|1|N
1|2|584|B|1|0|1|1595|1|16|0|0102|15|26|0|0|26|2021|8|1|18|6|8|1|N
1|2|589|C|3|0|2|1743|1|16|0|0102|11|26|1|0|27|2021|8|1|18|23|8|1|N
1|3|34|C|1|0|1|1856|1|10|0|0103|20|64|0|0|64|2021|8|1|18|20|46|1|N
1|3|214|C|1|0|1|1945|1|17|0|0103|12|93|2|1|96|2021|8|1|19|15|42|1|N
1|3|215|C|1|0|1|1359|1|17|0|0103|12|71|1|1|73|2021|8|1|18|52|58|1|N
